ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1662619	0.0233	6.45e-07	10.5716473	5.41797	1.42694102	TFPI	tissue factor pathway inhibitor
ILMN_1715508	0.0233	9.56e-07	-10.1469901	5.15782	-1.54750132	NNMT	nicotinamide N-methyltransferase
ILMN_1679401	0.0315	3.50e-06	8.8483305	4.25141	0.92016868	TRPM4	transient receptor potential cation channel subfamily M member 4
ILMN_1707124	0.0315	3.51e-06	8.8454041	4.24916	1.26261189	TFPI	tissue factor pathway inhibitor
ILMN_1706969	0.0315	3.89e-06	-8.7472789	4.17314	-1.03416112	BEND6	BEN domain containing 6
ILMN_2396020	0.0315	4.12e-06	8.6932707	4.13081	0.89876492	DUSP6	dual specificity phosphatase 6
ILMN_1695924	0.0315	4.52e-06	8.6079721	4.06325	2.49830873	KLK11	kallikrein related peptidase 11
ILMN_2208903	0.033	5.41e-06	8.4413663	3.92873	0.74452261	CD52	CD52 molecule
ILMN_1717052	0.0379	8.28e-06	8.0596808	3.6074	0.83703217	STARD10	StAR related lipid transfer domain containing 10
ILMN_1761733	0.0379	8.75e-06	8.0105219	3.56464	1.4337186	HLA-DMB	major histocompatibility complex, class II, DM beta
ILMN_1717252	0.0379	9.37e-06	-7.9506088	3.51209	-0.65043734	FBXL21	F-box and leucine rich repeat protein 21 (gene/pseudogene)
ILMN_2076600	0.0379	1.23e-05	7.7145602	3.30033	0.62173099	ITM2A	integral membrane protein 2A
ILMN_2136089	0.0379	1.39e-05	-7.615014	3.20872	-0.63099078		
ILMN_1756417	0.0379	1.44e-05	-7.581474	3.17754	-0.64302688	ANKRD37	ankyrin repeat domain 37
ILMN_1676449	0.0379	1.57e-05	7.5119528	3.1124	0.90608384	SLIT2	slit guidance ligand 2
ILMN_1811387	0.0379	1.62e-05	7.4813413	3.0835	1.89037159	TFF3	trefoil factor 3
ILMN_1682929	0.0379	1.67e-05	-7.45607	3.05955	-1.27100209		
ILMN_1687751	0.0379	1.73e-05	-7.4291348	3.03391	-0.61815216	BAALC	brain and acute leukemia, cytoplasmic
ILMN_1652857	0.0379	1.92e-05	7.3415029	2.94977	0.80251573	SLC15A1	solute carrier family 15 member 1
ILMN_1778668	0.0379	2.13e-05	-7.2577433	2.86829	-1.12759027	TAGLN	transgelin
ILMN_1656285	0.0379	2.16e-05	7.2449636	2.85577	0.7838552	METTL7A	methyltransferase like 7A
ILMN_1668052	0.0379	2.19e-05	7.2345919	2.84559	0.95062991	FOXA2	forkhead box A2
ILMN_1727045	0.0379	2.22e-05	-7.2235796	2.83477	-0.82949506	RASGRP3	RAS guanyl releasing protein 3
ILMN_1784283	0.0379	2.37e-05	7.1712858	2.78311	0.68294885	USH1C	USH1 protein network component harmonin
ILMN_1663866	0.0379	2.41e-05	-7.1578319	2.76975	-2.14805035	TGFBI	transforming growth factor beta induced
ILMN_1681081	0.0379	2.48e-05	7.1333782	2.7454	0.57599922	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
ILMN_1808508	0.0379	2.59e-05	-7.0979983	2.71002	-1.10978693	KITLG	KIT ligand
ILMN_1770940	0.0379	2.60e-05	7.0945431	2.70655	0.87065553	CDH1	cadherin 1
ILMN_1720511	0.0379	2.63e-05	-7.0845833	2.69655	-0.58742927	LRRN1	leucine rich repeat neuronal 1
ILMN_2067408	0.0379	2.71e-05	7.0622926	2.67412	0.91837042	CLRN3	clarin 3
ILMN_1713927	0.0379	2.74e-05	-7.0525169	2.66426	-0.80547717	AMTN	amelotin
ILMN_1801632	0.0379	2.80e-05	7.0368728	2.64844	1.07736204	KRT5	keratin 5
ILMN_1692223	0.0379	2.81e-05	-7.0332834	2.64481	-1.05660782	LCN2	lipocalin 2
ILMN_1796461	0.0379	2.83e-05	7.0274134	2.63886	1.56786228	PRSS8	protease, serine 8
ILMN_1738742	0.0379	3.01e-05	-6.9785059	2.58911	-0.58414826	PLAT	plasminogen activator, tissue type
ILMN_1749636	0.0379	3.01e-05	6.9782291	2.58883	0.68236287	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
ILMN_1676629	0.0379	3.05e-05	-6.966852	2.5772	-0.644101	INSIG2	insulin induced gene 2
ILMN_1769245	0.0379	3.09e-05	-6.95824	2.56839	-0.65665932	GLIPR1	GLI pathogenesis related 1
ILMN_1781745	0.0379	3.14e-05	6.9438124	2.55359	1.51160856	C9orf152	chromosome 9 open reading frame 152
ILMN_2064150	0.0379	3.21e-05	6.9256025	2.53488	0.63750754	PRRG2	proline rich and Gla domain 2
ILMN_1787897	0.0379	3.22e-05	-6.9235011	2.53272	-0.76324246	CXCL1	C-X-C motif chemokine ligand 1
ILMN_1762410	0.0379	3.26e-05	-6.9151362	2.5241	-1.14565622	SLC22A2	solute carrier family 22 member 2
ILMN_1728298	0.0403	3.55e-05	6.8476454	2.45418	0.71579242	SBK1	SH3 domain binding kinase 1
ILMN_1766675	0.0423	3.86e-05	-6.7816633	2.38513	-0.94913067	CDH6	cadherin 6
ILMN_1699665	0.0423	3.90e-05	6.7734095	2.37644	0.8107311	CLIC6	chloride intracellular channel 6
ILMN_1681601	0.0427	4.16e-05	6.7225466	2.32268	1.95070402	SUCNR1	succinate receptor 1
ILMN_2198878	0.0427	4.19e-05	-6.7182078	2.31808	-0.67509038	INPP4B	inositol polyphosphate-4-phosphatase type II B
