Gene Symbol	Gene ID	
TFPI	7035	
NNMT	4837	
TRPM4	54795	
TFPI	7035	
BEND6	221336	
DUSP6	1848	
KLK11	11012	
CD52	1043	
STARD10	10809	
HLA-DMB	3109	
FBXL21	26223	
ITM2A	9452	
ANKRD37	353322	
SLIT2	9353	
TFF3	7033	
BAALC	79870	
SLC15A1	6564	
TAGLN	6876	
METTL7A	25840	
FOXA2	3170	
RASGRP3	25780	
USH1C	10083	
TGFBI	7045	
AGPAT2	10555	
KITLG	4254	
CDH1	999	
LRRN1	57633	
CLRN3	119467	
AMTN	401138	
KRT5	3852	
LCN2	3934	
PRSS8	5652	
PLAT	5327	
DNAJC22	79962	
INSIG2	51141	
GLIPR1	11010	
C9orf152	401546	
PRRG2	5639	
CXCL1	2919	
SLC22A2	6582	
SBK1	388228	
CDH6	1004	
CLIC6	54102	
SUCNR1	56670	
INPP4B	8821	
CDKN1A	1026	
MT2A	4502	
HSPA2	3306	
SCNN1A	6337	
GSTA2	2939	
ISG20	3669	
CAV1	857	
CXCL8	3576	
MMP7	4316	
NMUR2	56923	
CHGA	1113	
CLDN7	1366	
LFNG	3955	
CFI	3426	
EXOG	9941	
HOXC4	3221	
MT1X	4501	
SMIM24	284422	
SLC22A2	6582	
RDH5	5959	
KLK13	26085	
SPTSSB	165679	
SPARC	6678	
TPRG1L	127262	
TWSG1	57045	
PDK3	5165	
FOXA3	3171	
ZBED2	79413	
ATP2C2	9914	
PLOD2	5352	
FOXJ1	2302	
ADGRG1	9289	
CLDN16	10686	
DOK7	285489	
PRKCD	5580	
ALPK2	115701	
MARVELD3	91862	
DSP	1832	
CLTB	1212	
LUM	4060	
LGR5	8549	
ADAMTS9	56999	
RASSF6	166824	
ROS1	6098	
RAP1GAP	5909	
PHLDB2	90102	
ERBB3	2065	
MUC16	94025	
SLC44A4	80736	
PLOD2	5352	
EPYC	1833	
LYG2	254773	
ENTPD2	954	
FBLN1	2192	
ANXA3	306	
CX3CL1	6376	
TSC22D3	1831	
KITLG	4254	
GSDMB	55876	
CXCL8	3576	
MAP7	9053	
TMEM154	201799	
TICAM2	353376	
SH3RF2	153769	
MT1A	4489	
RAB31	11031	
MFGE8	4240	
SLC22A4	6583	
RASSF6	166824	
NCEH1	57552	
MMP7	4316	
STK31	56164	
MOCOS	55034	
TSC22D1	8848	
ILDR1	286676	
SLC47A1	55244	
MGARP	84709	
ESRP1	54845	
SLFN11	91607	
TFPI	7035	
PHLDB2	90102	
MSMO1	6307	
FBLN1	2192	
RARRES3	5920	
CYB5B	80777	
TM4SF4	7104	
SYTL2	54843	
GJB1	2705	
SLC9A3R1	9368	
TFPI2	7980	
JAG1	182	
DDX20	11218	
COL12A1	1303	
CYP2S1	29785	
NEDD9	4739	
GSTA1	2938	
AGPAT2	10555	
CRISPLD2	83716	
SLC2A12	154091	
CAV1	857	
NR2E3	10002	
GYG2	8908	
LCN15	389812	
HPN	3249	
RNF144B	255488	
MCTP1	79772	
FBLN1	2192	
CMSS1	84319	
CPM	1368	
WDR91	29062	
MMP16	4325	
JUN	3725	
MSR1	4481	
MKX	283078	
FCGBP	8857	
CLDN3	1365	
ALG1L	200810	
FUT2	2524	
YBX2	51087	
CDH17	1015	
DPP4	1803	
IL32	9235	
GGT6	124975	
ST8SIA4	7903	
PKD2	5311	
DCAF13	25879	
PPP1R1B	84152	
LINC01629	105370578	
SYTL3	94120	
ALDH3A2	224	
CHST13	166012	
RAB17	64284	
ZNF225	7768	
TRPC1	7220	
ANO6	196527	
ACAT2	39	
ANLN	54443	
ANPEP	290	
MAGEC2	51438	
SMPDL3B	27293	
ST6GALNAC1	55808	
DNAJB9	4189	
KRT80	144501	
DNALI1	7802	
FOXO1	2308	
RND3	390	
MSRB3	253827	
GLS	2744	
LIPG	9388	
SLC24A3	57419	
INPP5E	56623	
PLOD2	5352	
INSIG1	3638	
JUP	3728	
KRT24	192666	
NOX4	50507	
GLIPR2	152007	
EPHA2	1969	
CPT2	1376	
CYB561	1534	
EDNRA	1909	
PMEPA1	56937	
DST	667	
TGM2	7052	
SPP1	6696	
HBA2	3040	
ESR1	2099	
CDKAL1	54901	
IFITM3	10410	
CAPN9	10753	
MT1F	4494	
BNC2	54796	
MALL	7851	
ZNF185	7739	
HLA-DMA	3108	
KCNH3	23416	
FAIM2	23017	
LGALS4	3960	
SLC44A4	80736	
RHBDF2	79651	
PLPP2	8612	
JUP	3728	
UGT2B15	7366	
SPP1	6696	
C1QTNF6	114904	
FEM1C	56929	
C3orf14	57415	
KIF1A	547	
TMEM125	128218	
ADD3	120	
FGD3	89846	
LIF	3976	
SQLE	6713	
GLYATL3	389396	
BRINP3	339479	
ABCA2	20	
RECQL	5965	
CALML4	91860	
PDLIM7	9260	
PLAU	5328	
ARL14EPL	644100	
MALT1	10892	
KCNMA1	3778	
GFPT1	2673	
SQLE	6713	
NRG1	3084	
HSD11B2	3291	
PTP4A1	7803	
BRE	9577	
UGT2B17	7367	
HES1	3280	
TMC4	147798	
PDE7B	27115	
FSTL3	10272	
LAMC3	10319	
HSD17B6	8630	
MAGEC1	9947	
RNF217	154214	
PIR	8544	
ZNF26	7574	
METTL7B	196410	
CAV2	858	
NTS	4922	
SPANXC	64663	
LOXL1	4016	
TNFAIP8	25816	
LUM	4060	
GPR37	2861	
IFITM2	10581	
ADGRG2	10149	
ENC1	8507	
SLC29A3	55315	
MLXIPL	51085	
AGR3	155465	
CKMT1A	548596	
GSTA2	2939	
SNAPC1	6617	
UGT2B17	7367	
ARHGEF16	27237	
ACTR1B	10120	
SOX8	30812	
GPX8	493869	
RBM17	84991	
UMPS	7372	
DAPL1	92196	
APBB2	323	
FAM83E	54854	
ANO9	338440	
ARL6IP6	151188	
PLEKHB1	58473	
TMEM126A	84233	
SEPP1	6414	
SVIL	6840	
PI3	5266	
TSPAN2	10100	
PLEKHS1	79949	
GRPEL2	134266	
NIN	51199	
CLIC4	25932	
SHISA3	152573	
PLEKHH2	130271	
RAB40C	57799	
MYRF	745	
ID2	3398	
ZNF594	84622	
KLHDC2	23588	
FOXO4	4303	
SUCNR1	56670	
AKAP12	9590	
DEPTOR	64798	
FOXA1	3169	
MRPL33	9553	
SYK	6850	
ADGRG7	84873	
CAV2	858	
TCP11L1	55346	
SLC40A1	30061	
SSH3	54961	
MSRB3	253827	
SPRED2	200734	
MARCKSL1	65108	
FBXL13	222235	
TGM5	9333	
ECM2	1842	
TPPP	11076	
C12orf57	113246	
RUNX1	861	
NFKBIZ	64332	
FAM214A	56204	
BAIAP2L2	80115	
SERINC2	347735	
TGM2	7052	
NEU3	10825	
PRR15L	79170	
F3	2152	
LAMC2	3918	
S1PR3	1903	
RBP1	5947	
OSMR	9180	
C19orf33	64073	
SMIM3	85027	
LRIG1	26018	
LSAMP	4045	
PRUNE2	158471	
RRAD	6236	
OSBPL9	114883	
ADD2	119	
GRB7	2886	
TMEM81	388730	
SERPINA3	12	
TSPAN13	27075	
MAP2K3	5606	
PMEPA1	56937	
LBH	81606	
NUDT6	11162	
TMEM238	388564	
LYAR	55646	
ENPP2	5168	
LPCAT2	54947	
LOC101928516	101928516	
TMEM169	92691	
PLA2G4F	255189	
MAP1S	55201	
CTH	1491	
CAV2	858	
ERBIN	55914	
RTKN	6242	
KLHL13	90293	
CGNL1	84952	
FAR1	84188	
ZNF23	7571	
IGFBP5	3488	
BCL9L	283149	
TRIM15	89870	
CPXM1	56265	
HMGA2	8091	
CXCR4	7852	
SOAT1	6646	
NBL1	4681	
ADTRP	84830	
PKIA	5569	
BDNF	627	
MUC13	56667	
IL32	9235	
SENP5	205564	
SLCO1B3	28234	
CYB561	1534	
NUDT6	11162	
ZDHHC11	79844	
CANX	821	
FSTL1	11167	
WDR76	79968	
KRT7	3855	
BIRC3	330	
DTL	51514	
SFN	2810	
GORAB	92344	
TSPAN8	7103	
IL6R	3570	
DDR1	780	
ARL4A	10124	
SPANXB1	728695	
MPL	4352	
FAM83H	286077	
NOP14	8602	
KLF13	51621	
TCEAL1	9338	
RBMS2	5939	
MSMO1	6307	
CINP	51550	
STYX	6815	
COL17A1	1308	
TMEM63A	9725	
ASPH	444	
UCP2	7351	
ZNF512	84450	
ACSM3	6296	
NUCKS1	64710	
C19orf43	-	
EEF1A2	1917	
RPS3A	6189	
PTHLH	5744	
COQ8A	56997	
CDK10	8558	
COL17A1	1308	
C18orf54	162681	
SLC38A11	151258	
B3GALT5	10317	
VIM	7431	
ACSM3	6296	
FCGRT	2217	
SLC39A8	64116	
PALLD	23022	
SCML1	6322	
SPHK2	56848	
GLT8D2	83468	
S100A14	57402	
RAC1	5879	
OSBPL5	114879	
DPYD	1806	
ASPH	444	
LRCH2	57631	
TRIM47	91107	
HSPA2	3306	
PDK3	5165	
PLS3	5358	
MFAP5	8076	
ALCAM	214	
ZNF425	155054	
SRGN	5552	
GPR35	2859	
ACSS1	84532	
PPP1R3C	5507	
SNAP25	6616	
P3H2	55214	
ANXA2R	389289	
GFOD1	54438	
FKBP7	51661	
PLS3	5358	
VKORC1	79001	
CD34	947	
NPC1L1	29881	
RIMKLB	57494	
IL1RAPL1	11141	
CMSS1	84319	
ST6GAL1	6480	
ARRDC3	57561	
COX7A1	1346	
MGARP	84709	
CHL1	10752	
DCAF12L1	139170	
PKIA	5569	
ADGRG2	10149	
PHF11	51131	
CXXC5	51523	
GCOM1	145781	
JUP	3728	
FGFR3	2261	
ZBTB7C	201501	
TUBB3	10381	
MED8	112950	
RPL39L	116832	
HOXC6	3223	
ARL14EPL	644100	
AKR1B1	231	
PRDM12	59335	
UGT2B7	7364	
GALR2	8811	
RECK	8434	
HNRNPA1P33	728643	
ZIK1	284307	
MEP1B	4225	
CASZ1	54897	
CDH3	1001	
IRF2BP2	359948	
SMTN	6525	
DST	667	
RAP2A	5911	
RASSF5	83593	
ATP6V1C2	245973	
NUDT6	11162	
GM140	-	
SLC43A2	124935	
