Gene.symbol,binary
TFPI,1
NNMT,1
TRPM4,1
TFPI,1
BEND6,1
DUSP6,1
KLK11,1
CD52,1
STARD10,1
HLA-DMB,1
FBXL21,1
ITM2A,1
ANKRD37,1
SLIT2,1
TFF3,1
BAALC,1
SLC15A1,1
TAGLN,1
METTL7A,1
FOXA2,1
RASGRP3,1
USH1C,1
TGFBI,1
AGPAT2,1
KITLG,1
CDH1,1
LRRN1,1
CLRN3,1
AMTN,1
KRT5,1
LCN2,1
PRSS8,1
PLAT,1
DNAJC22,1
INSIG2,1
GLIPR1,1
C9orf152,1
PRRG2,1
CXCL1,1
SLC22A2,1
SBK1,1
CDH6,1
CLIC6,1
SUCNR1,1
INPP4B,1
CDKN1A,1
MT2A,1
HSPA2,1
SCNN1A,1
GSTA2,1
ISG20,0
CAV1,0
CXCL8,0
MMP7,0
NMUR2,0
CHGA,0
CLDN7,0
LFNG,0
CFI,0
EXOG,0
HOXC4,0
MT1X,0
SMIM24,0
SLC22A2,0
RDH5,0
KLK13,0
SPTSSB,0
SPARC,0
TPRG1L,0
TWSG1,0
PDK3,0
FOXA3,0
ZBED2,0
ATP2C2,0
PLOD2,0
FOXJ1,0
ADGRG1,0
CLDN16,0
DOK7,0
PRKCD,0
ALPK2,0
MARVELD3,0
DSP,0
CLTB,0
LUM,0
LGR5,0
ADAMTS9,0
RASSF6,0
ROS1,0
RAP1GAP,0
PHLDB2,0
ERBB3,0
MUC16,0
SLC44A4,0
PLOD2,0
EPYC,0
LYG2,0
ENTPD2,0
FBLN1,0
ANXA3,0
CX3CL1,0
TSC22D3,0
KITLG,0
GSDMB,0
CXCL8,0
MAP7,0
TMEM154,0
TICAM2,0
SH3RF2,0
MT1A,0
RAB31,0
MFGE8,0
SLC22A4,0
RASSF6,0
NCEH1,0
MMP7,0
STK31,0
MOCOS,0
TSC22D1,0
ILDR1,0
SLC47A1,0
MGARP,0
ESRP1,0
SLFN11,0
TFPI,0
PHLDB2,0
MSMO1,0
FBLN1,0
RARRES3,0
CYB5B,0
TM4SF4,0
SYTL2,0
GJB1,0
SLC9A3R1,0
TFPI2,0
JAG1,0
DDX20,0
COL12A1,0
CYP2S1,0
NEDD9,0
GSTA1,0
AGPAT2,0
CRISPLD2,0
SLC2A12,0
CAV1,0
NR2E3,0
GYG2,0
LCN15,0
HPN,0
RNF144B,0
MCTP1,0
FBLN1,0
CMSS1,0
CPM,0
WDR91,0
MMP16,0
JUN,0
MSR1,0
MKX,0
FCGBP,0
CLDN3,0
ALG1L,0
FUT2,0
YBX2,0
CDH17,0
DPP4,0
IL32,0
GGT6,0
ST8SIA4,0
PKD2,0
DCAF13,0
PPP1R1B,0
LINC01629,0
SYTL3,0
ALDH3A2,0
CHST13,0
RAB17,0
ZNF225,0
TRPC1,0
ANO6,0
ACAT2,0
ANLN,0
ANPEP,0
MAGEC2,0
SMPDL3B,0
ST6GALNAC1,0
DNAJB9,0
KRT80,0
DNALI1,0
FOXO1,0
RND3,0
MSRB3,0
GLS,0
LIPG,0
SLC24A3,0
INPP5E,0
PLOD2,0
INSIG1,0
JUP,0
KRT24,0
NOX4,0
GLIPR2,0
EPHA2,0
CPT2,0
CYB561,0
EDNRA,0
PMEPA1,0
DST,0
TGM2,0
SPP1,0
HBA2,0
ESR1,0
CDKAL1,0
IFITM3,0
CAPN9,0
MT1F,0
BNC2,0
MALL,0
ZNF185,0
HLA-DMA,0
KCNH3,0
FAIM2,0
LGALS4,0
SLC44A4,0
RHBDF2,0
PLPP2,0
JUP,0
UGT2B15,0
SPP1,0
C1QTNF6,0
FEM1C,0
C3orf14,0
KIF1A,0
TMEM125,0
ADD3,0
FGD3,0
LIF,0
SQLE,0
GLYATL3,0
BRINP3,0
ABCA2,0
RECQL,0
CALML4,0
PDLIM7,0
PLAU,0
ARL14EPL,0
MALT1,0
KCNMA1,0
GFPT1,0
SQLE,0
NRG1,0
HSD11B2,0
PTP4A1,0
BRE,0
UGT2B17,0
HES1,0
TMC4,0
PDE7B,0
FSTL3,0
LAMC3,0
HSD17B6,0
MAGEC1,0
RNF217,0
PIR,0
ZNF26,0
METTL7B,0
CAV2,0
NTS,0
SPANXC,0
LOXL1,0
TNFAIP8,0
LUM,0
GPR37,0
IFITM2,0
ADGRG2,0
ENC1,0
SLC29A3,0
MLXIPL,0
AGR3,0
CKMT1A,0
GSTA2,0
SNAPC1,0
UGT2B17,0
ARHGEF16,0
ACTR1B,0
SOX8,0
GPX8,0
RBM17,0
UMPS,0
DAPL1,0
APBB2,0
FAM83E,0
ANO9,0
ARL6IP6,0
PLEKHB1,0
TMEM126A,0
SEPP1,0
SVIL,0
PI3,0
TSPAN2,0
PLEKHS1,0
GRPEL2,0
NIN,0
CLIC4,0
SHISA3,0
PLEKHH2,0
RAB40C,0
MYRF,0
ID2,0
ZNF594,0
KLHDC2,0
FOXO4,0
SUCNR1,0
AKAP12,0
DEPTOR,0
FOXA1,0
MRPL33,0
SYK,0
ADGRG7,0
CAV2,0
TCP11L1,0
SLC40A1,0
SSH3,0
MSRB3,0
SPRED2,0
MARCKSL1,0
FBXL13,0
TGM5,0
ECM2,0
TPPP,0
C12orf57,0
RUNX1,0
NFKBIZ,0
FAM214A,0
BAIAP2L2,0
SERINC2,0
TGM2,0
NEU3,0
PRR15L,0
F3,0
LAMC2,0
S1PR3,0
RBP1,0
OSMR,0
C19orf33,0
SMIM3,0
LRIG1,0
LSAMP,0
PRUNE2,0
RRAD,0
OSBPL9,0
ADD2,0
GRB7,0
TMEM81,0
SERPINA3,0
TSPAN13,0
MAP2K3,0
PMEPA1,0
LBH,0
NUDT6,0
TMEM238,0
LYAR,0
ENPP2,0
LPCAT2,0
LOC101928516,0
TMEM169,0
PLA2G4F,0
MAP1S,0
CTH,0
CAV2,0
ERBIN,0
RTKN,0
KLHL13,0
CGNL1,0
FAR1,0
ZNF23,0
IGFBP5,0
BCL9L,0
TRIM15,0
CPXM1,0
HMGA2,0
CXCR4,0
SOAT1,0
NBL1,0
ADTRP,0
PKIA,0
BDNF,0
MUC13,0
IL32,0
SENP5,0
SLCO1B3,0
CYB561,0
NUDT6,0
ZDHHC11,0
CANX,0
FSTL1,0
WDR76,0
KRT7,0
BIRC3,0
DTL,0
SFN,0
GORAB,0
TSPAN8,0
IL6R,0
DDR1,0
ARL4A,0
SPANXB1,0
MPL,0
FAM83H,0
NOP14,0
KLF13,0
TCEAL1,0
RBMS2,0
MSMO1,0
CINP,0
STYX,0
COL17A1,0
TMEM63A,0
