Gene.symbol,adj.P.Val
TFPI,0.0233
NNMT,0.0233
TRPM4,0.0315
TFPI,0.0315
BEND6,0.0315
DUSP6,0.0315
KLK11,0.0315
CD52,0.033
STARD10,0.0379
HLA-DMB,0.0379
FBXL21,0.0379
ITM2A,0.0379
ANKRD37,0.0379
SLIT2,0.0379
TFF3,0.0379
BAALC,0.0379
SLC15A1,0.0379
TAGLN,0.0379
METTL7A,0.0379
FOXA2,0.0379
RASGRP3,0.0379
USH1C,0.0379
TGFBI,0.0379
AGPAT2,0.0379
KITLG,0.0379
CDH1,0.0379
LRRN1,0.0379
CLRN3,0.0379
AMTN,0.0379
KRT5,0.0379
LCN2,0.0379
PRSS8,0.0379
PLAT,0.0379
DNAJC22,0.0379
INSIG2,0.0379
GLIPR1,0.0379
C9orf152,0.0379
PRRG2,0.0379
CXCL1,0.0379
SLC22A2,0.0379
SBK1,0.0403
CDH6,0.0423
CLIC6,0.0423
SUCNR1,0.0427
INPP4B,0.0427
CDKN1A,0.0427
MT2A,0.0454
HSPA2,0.0454
SCNN1A,0.0455
GSTA2,0.0476
ISG20,0.0518
CAV1,0.0518
CXCL8,0.0589
MMP7,0.0609
NMUR2,0.0697
CHGA,0.0697
CLDN7,0.0697
LFNG,0.0697
CFI,0.0721
EXOG,0.0721
HOXC4,0.0721
MT1X,0.0721
SMIM24,0.0721
SLC22A2,0.0723
RDH5,0.0723
KLK13,0.0723
SPTSSB,0.0723
SPARC,0.0728
TPRG1L,0.0728
TWSG1,0.0728
PDK3,0.0728
FOXA3,0.0728
ZBED2,0.0735
ATP2C2,0.075
PLOD2,0.075
FOXJ1,0.075
ADGRG1,0.075
CLDN16,0.075
DOK7,0.075
PRKCD,0.075
ALPK2,0.075
MARVELD3,0.075
DSP,0.075
CLTB,0.075
LUM,0.075
LGR5,0.075
ADAMTS9,0.075
RASSF6,0.075
ROS1,0.0763
RAP1GAP,0.0763
PHLDB2,0.0763
ERBB3,0.0763
MUC16,0.0763
SLC44A4,0.0763
PLOD2,0.0763
EPYC,0.0763
LYG2,0.0763
ENTPD2,0.0767
FBLN1,0.0769
ANXA3,0.0776
CX3CL1,0.0793
TSC22D3,0.0793
KITLG,0.0795
GSDMB,0.0795
CXCL8,0.0795
MAP7,0.0801
TMEM154,0.0802
TICAM2,0.0832
SH3RF2,0.0872
MT1A,0.0872
RAB31,0.0882
MFGE8,0.0913
SLC22A4,0.0916
RASSF6,0.0916
NCEH1,0.0916
MMP7,0.0916
STK31,0.0916
MOCOS,0.0916
TSC22D1,0.0916
ILDR1,0.0916
SLC47A1,0.0916
MGARP,0.0916
ESRP1,0.0916
SLFN11,0.0916
TFPI,0.0916
PHLDB2,0.0916
MSMO1,0.0918
FBLN1,0.0924
RARRES3,0.0954
CYB5B,0.0957
TM4SF4,0.0966
SYTL2,0.0982
GJB1,0.0996
SLC9A3R1,0.1036
TFPI2,0.1044
JAG1,0.1044
DDX20,0.1049
COL12A1,0.1054
CYP2S1,0.1068
NEDD9,0.111
GSTA1,0.111
AGPAT2,0.111
CRISPLD2,0.11699999999999999
SLC2A12,0.11699999999999999
CAV1,0.11699999999999999
NR2E3,0.11699999999999999
GYG2,0.11699999999999999
LCN15,0.11699999999999999
HPN,0.11699999999999999
RNF144B,0.11699999999999999
MCTP1,0.11699999999999999
FBLN1,0.11699999999999999
CMSS1,0.1175
CPM,0.1175
WDR91,0.1175
MMP16,0.1199
JUN,0.1211
MSR1,0.1213
MKX,0.1213
FCGBP,0.1213
CLDN3,0.1222
ALG1L,0.1235
FUT2,0.1257
YBX2,0.1264
CDH17,0.1288
DPP4,0.1312
IL32,0.1312
GGT6,0.1312
ST8SIA4,0.1312
PKD2,0.1312
DCAF13,0.1312
PPP1R1B,0.1316
LINC01629,0.1337
SYTL3,0.1337
ALDH3A2,0.134
CHST13,0.1341
RAB17,0.1341
ZNF225,0.1352
TRPC1,0.1372
ANO6,0.1372
ACAT2,0.1372
ANLN,0.1411
ANPEP,0.1428
MAGEC2,0.1445
SMPDL3B,0.1466
ST6GALNAC1,0.1466
DNAJB9,0.1466
KRT80,0.1466
DNALI1,0.1466
FOXO1,0.14800000000000002
RND3,0.149
MSRB3,0.149
GLS,0.1499
LIPG,0.1525
SLC24A3,0.1532
INPP5E,0.1532
PLOD2,0.1532
INSIG1,0.1532
JUP,0.1532
KRT24,0.1533
NOX4,0.1536
GLIPR2,0.1536
EPHA2,0.1536
CPT2,0.1536
CYB561,0.1536
EDNRA,0.1536
PMEPA1,0.1541
DST,0.1553
TGM2,0.1553
SPP1,0.1553
HBA2,0.1553
ESR1,0.1553
CDKAL1,0.1553
IFITM3,0.1553
CAPN9,0.1553
MT1F,0.1553
BNC2,0.1553
MALL,0.1567
ZNF185,0.1567
HLA-DMA,0.1567
KCNH3,0.1567
FAIM2,0.1567
LGALS4,0.1567
SLC44A4,0.1578
RHBDF2,0.1578
PLPP2,0.1583
JUP,0.1583
UGT2B15,0.1583
SPP1,0.1583
C1QTNF6,0.1606
FEM1C,0.1606
C3orf14,0.1606
KIF1A,0.1606
TMEM125,0.1606
ADD3,0.1609
FGD3,0.1609
LIF,0.162
SQLE,0.162
GLYATL3,0.1624
BRINP3,0.1629
ABCA2,0.1629
RECQL,0.1641
CALML4,0.166
PDLIM7,0.166
PLAU,0.166
ARL14EPL,0.166
MALT1,0.166
KCNMA1,0.166
GFPT1,0.166
SQLE,0.1669
NRG1,0.1669
HSD11B2,0.1673
PTP4A1,0.1678
BRE,0.1678
UGT2B17,0.1692
HES1,0.1693
TMC4,0.1696
PDE7B,0.1696
FSTL3,0.1696
LAMC3,0.1696
HSD17B6,0.1716
MAGEC1,0.172
RNF217,0.1725
PIR,0.1729
ZNF26,0.1729
METTL7B,0.1729
CAV2,0.1729
NTS,0.1733
SPANXC,0.1733
LOXL1,0.1733
TNFAIP8,0.1733
LUM,0.1733
GPR37,0.1755
IFITM2,0.1763
ADGRG2,0.1763
ENC1,0.1767
SLC29A3,0.1769
MLXIPL,0.1776
AGR3,0.1799
CKMT1A,0.1799
GSTA2,0.1807
SNAPC1,0.1818
UGT2B17,0.1818
ARHGEF16,0.1818
ACTR1B,0.1818
SOX8,0.1839
GPX8,0.1839
RBM17,0.1843
UMPS,0.1848
DAPL1,0.18600000000000003
APBB2,0.18600000000000003
FAM83E,0.1864
ANO9,0.1864
ARL6IP6,0.1884
PLEKHB1,0.1889
TMEM126A,0.1906
SEPP1,0.1911
SVIL,0.1916
PI3,0.1922
TSPAN2,0.1922
PLEKHS1,0.1922
GRPEL2,0.1922
