Gene_ID	adj.P.Val
7035	0.0233
4837	0.0233
54795	0.0315
7035	0.0315
221336	0.0315
1848	0.0315
11012	0.0315
1043	0.033
10809	0.0379
3109	0.0379
26223	0.0379
9452	0.0379
9353	0.0379
7033	0.0379
79870	0.0379
6876	0.0379
25840	0.0379
3170	0.0379
25780	0.0379
10083	0.0379
7045	0.0379
10555	0.0379
4254	0.0379
999	0.0379
57633	0.0379
119467	0.0379
401138	0.0379
3852	0.0379
3934	0.0379
5652	0.0379
5327	0.0379
79962	0.0379
51141	0.0379
11010	0.0379
401546	0.0379
5639	0.0379
2919	0.0379
6582	0.0379
388228	0.0379
1004	0.0379
54102	0.0403
56670	0.0423
8821	0.0423
1026	0.0427
4502	0.0427
3306	0.0427
6337	0.0454
2939	0.0454
3669	0.0455
857	0.0476
3576	0.0518
4316	0.0518
56923	0.0589
1113	0.0609
1366	0.0697
3955	0.0697
3426	0.0697
9941	0.0697
3221	0.0721
4501	0.0721
284422	0.0721
6582	0.0721
5959	0.0721
26085	0.0723
165679	0.0723
6678	0.0723
127262	0.0723
57045	0.0728
5165	0.0728
79413	0.0728
9914	0.0728
5352	0.0728
2302	0.0735
9289	0.075
10686	0.075
285489	0.075
5580	0.075
115701	0.075
91862	0.075
1832	0.075
1212	0.075
4060	0.075
8549	0.075
56999	0.075
6098	0.075
5909	0.075
90102	0.075
2065	0.075
94025	0.0763
80736	0.0763
5352	0.0763
1833	0.0763
254773	0.0763
954	0.0763
2192	0.0763
306	0.0763
6376	0.0763
1831	0.0767
4254	0.0769
55876	0.0776
3576	0.0793
9053	0.0793
201799	0.0795
353376	0.0795
153769	0.0795
4489	0.0801
4240	0.0802
6583	0.0832
166824	0.0872
57552	0.0872
4316	0.0882
56164	0.0913
55034	0.0916
8848	0.0916
286676	0.0916
55244	0.0916
84709	0.0916
54845	0.0916
91607	0.0916
7035	0.0916
90102	0.0916
6307	0.0916
2192	0.0916
5920	0.0916
80777	0.0916
7104	0.0916
54843	0.0918
2705	0.0924
9368	0.0954
182	0.0957
11218	0.0966
1303	0.0982
29785	0.0996
4739	0.1036
2938	0.1044
10555	0.1044
83716	0.1049
154091	0.1054
857	0.1068
10002	0.111
8908	0.111
389812	0.111
3249	0.11699999999999999
79772	0.11699999999999999
2192	0.11699999999999999
84319	0.11699999999999999
1368	0.11699999999999999
29062	0.11699999999999999
4325	0.11699999999999999
3725	0.11699999999999999
4481	0.11699999999999999
283078	0.11699999999999999
1365	0.1175
200810	0.1175
2524	0.1175
1015	0.1199
1803	0.1211
9235	0.1213
124975	0.1213
7903	0.1213
5311	0.1222
25879	0.1235
84152	0.1257
105370578	0.1264
94120	0.1288
224	0.1312
166012	0.1312
7768	0.1312
7220	0.1312
196527	0.1312
39	0.1312
54443	0.1316
290	0.1337
51438	0.1337
27293	0.134
55808	0.1341
4189	0.1341
144501	0.1352
7802	0.1372
2308	0.1372
253827	0.1372
2744	0.1411
9388	0.1428
57419	0.1445
56623	0.1466
5352	0.1466
3638	0.1466
3728	0.1466
192666	0.1466
50507	0.14800000000000002
152007	0.149
1969	0.149
1376	0.1499
1909	0.1525
56937	0.1532
667	0.1532
7052	0.1532
6696	0.1532
3040	0.1532
2099	0.1533
54901	0.1536
10410	0.1536
10753	0.1536
4494	0.1536
54796	0.1536
7851	0.1536
7739	0.1541
3108	0.1553
23416	0.1553
23017	0.1553
3960	0.1553
80736	0.1553
79651	0.1553
8612	0.1553
3728	0.1553
7366	0.1553
6696	0.1553
56929	0.1567
547	0.1567
128218	0.1567
120	0.1567
89846	0.1567
3976	0.1567
339479	0.1578
20	0.1578
5965	0.1583
91860	0.1583
9260	0.1583
5328	0.1583
644100	0.1606
10892	0.1606
3778	0.1606
2673	0.1606
6713	0.1606
3084	0.1609
3291	0.1609
7803	0.162
9577	0.162
7367	0.1624
3280	0.1629
147798	0.1629
27115	0.1641
10319	0.166
8630	0.166
154214	0.166
8544	0.166
7574	0.166
196410	0.166
858	0.166
4922	0.1669
64663	0.1669
4016	0.1673
25816	0.1678
4060	0.1678
2861	0.1692
10581	0.1693
10149	0.1696
55315	0.1696
51085	0.1696
155465	0.1696
2939	0.1716
6617	0.172
7367	0.1725
27237	0.1729
30812	0.1729
493869	0.1729
84991	0.1729
7372	0.1733
92196	0.1733
323	0.1733
54854	0.1733
338440	0.1733
84233	0.1755
6414	0.1763
6840	0.1763
5266	0.1767
10100	0.1769
79949	0.1776
51199	0.1799
25932	0.1799
152573	0.1807
130271	0.1818
57799	0.1818
745	0.1818
3398	0.1818
84622	0.1839
23588	0.1839
4303	0.1843
56670	0.1848
9590	0.18600000000000003
64798	0.18600000000000003
9553	0.1864
6850	0.1864
84873	0.1884
55346	0.1889
54961	0.1906
253827	0.1911
200734	0.1916
65108	0.1922
222235	0.1922
9333	0.1922
1842	0.1922
11076	0.1922
113246	0.1926
861	0.1926
64332	0.193
